
Tracing route to www.cs.grinnell.edu [132.161.132.159]
over a maximum of 30 hops:

  1     2 ms     3 ms     2 ms  Dlink-Router.Dlink [192.168.0.1] 
  2     3 ms     1 ms     6 ms  10.153.128.1 
  3    10 ms     6 ms     5 ms  14.143.59.193.static-mumbai.vsnl.net.in [14.143.59.193] 
  4    25 ms    27 ms    24 ms  172.31.244.45 
  5    27 ms    27 ms    27 ms  ix-ae-4-2.tcore2.cxr-chennai.as6453.net [180.87.37.1] 
  6   235 ms   235 ms   235 ms  if-ae-9-2.tcore2.mlv-mumbai.as6453.net [180.87.37.10] 
  7   238 ms     *        *     if-ae-2-2.tcore1.mlv-mumbai.as6453.net [180.87.38.1] 
  8     *        *        *     Request timed out.
  9     *        *        *     Request timed out.
 10   241 ms     *        *     if-ae-9-2.tcore2.l78-london.as6453.net [80.231.200.14] 
 11   349 ms   249 ms   241 ms  if-ae-15-2.tcore2.ldn-london.as6453.net [80.231.131.118] 
 12     *      240 ms   237 ms  if-ae-32-2.tcore2.nto-newyork.as6453.net [63.243.216.22] 
 13   241 ms   240 ms   252 ms  if-ae-26-2.tcore1.ct8-chicago.as6453.net [216.6.81.29] 
 14     *      240 ms   239 ms  63.243.129.121 
 15     *        *        *     Request timed out.
 16   246 ms   247 ms   246 ms  et3-1-0-0.agr03.desm01-ia.us.windstream.net [40.128.250.43] 
 17   246 ms   247 ms   248 ms  et4-1-0-0.agr04.desm01-ia.us.windstream.net [40.136.117.253] 
 18   247 ms   247 ms   247 ms  ae4-0.pe05.grnl01-ia.us.windstream.net [40.128.251.179] 
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29     *        *        *     Request timed out.
 30     *        *        *     Request timed out.

Trace complete.
