
Tracing route to www.ee.iitb.ac.in [103.21.125.132]
over a maximum of 30 hops:

  1     1 ms     1 ms     1 ms  Dlink-Router.Dlink [192.168.0.1] 
  2     4 ms     5 ms     6 ms  10.153.128.1 
  3     2 ms     3 ms     3 ms  14.143.59.189.static-mumbai.vsnl.net.in [14.143.59.189] 
  4    17 ms     8 ms     8 ms  172.23.78.230 
  5    14 ms     5 ms     4 ms  115.113.165.62.static-mumbai.vsnl.net.in [115.113.165.62] 
  6     *        *        *     Request timed out.
  7     *        *        *     Request timed out.
  8    15 ms     7 ms    12 ms  115.110.234.170.static.Mumbai.vsnl.net.in [115.110.234.170] 
  9     *        *        *     Request timed out.
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29     *        *        *     Request timed out.
 30     *        *        *     Request timed out.

Trace complete.
